barcode,number_of_affected_variants,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id,recommended_action,priority,review_reason
133202,2,FLIGHT BOMBER JACKET,NARDO GREY / SMALL,133202,gid://shopify/Product/10378823467313,gid://shopify/ProductVariant/51759176810801,archived,gid://shopify/InventoryItem/53829980717361,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
133202,2,FLIGHT BOMBER JACKET IN NARDO GREY,SMALL,133202,gid://shopify/Product/10464848216369,gid://shopify/ProductVariant/52100478304561,active,gid://shopify/InventoryItem/54191286845745,keep barcode on this variant,high,Only active variant in duplicate group.
133203,2,FLIGHT BOMBER JACKET,NARDO GREY / MEDIUM,133203,gid://shopify/Product/10378823467313,gid://shopify/ProductVariant/51759176843569,archived,gid://shopify/InventoryItem/53829980750129,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
133203,2,FLIGHT BOMBER JACKET IN NARDO GREY,MEDIUM,133203,gid://shopify/Product/10464848216369,gid://shopify/ProductVariant/52100478337329,active,gid://shopify/InventoryItem/54191286878513,keep barcode on this variant,high,Only active variant in duplicate group.
133204,2,FLIGHT BOMBER JACKET,NARDO GREY / LARGE,133204,gid://shopify/Product/10378823467313,gid://shopify/ProductVariant/51759176876337,archived,gid://shopify/InventoryItem/53829980782897,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
133204,2,FLIGHT BOMBER JACKET IN NARDO GREY,LARGE,133204,gid://shopify/Product/10464848216369,gid://shopify/ProductVariant/52100478370097,active,gid://shopify/InventoryItem/54191286911281,keep barcode on this variant,high,Only active variant in duplicate group.
133205,2,FLIGHT BOMBER JACKET,NARDO GREY / EXTRA-LARGE,133205,gid://shopify/Product/10378823467313,gid://shopify/ProductVariant/51759176909105,archived,gid://shopify/InventoryItem/53829980815665,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
133205,2,FLIGHT BOMBER JACKET IN NARDO GREY,EXTRA - LARGE,133205,gid://shopify/Product/10464848216369,gid://shopify/ProductVariant/52100478402865,active,gid://shopify/InventoryItem/54191286944049,keep barcode on this variant,high,Only active variant in duplicate group.
133206,2,FLIGHT BOMBER JACKET,NARDO GREY / 2X-LARGE,133206,gid://shopify/Product/10378823467313,gid://shopify/ProductVariant/51759176941873,archived,gid://shopify/InventoryItem/53829980848433,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
133206,2,FLIGHT BOMBER JACKET IN NARDO GREY,2X - LARGE,133206,gid://shopify/Product/10464848216369,gid://shopify/ProductVariant/52100478435633,active,gid://shopify/InventoryItem/54191286976817,keep barcode on this variant,high,Only active variant in duplicate group.
133702,2,M+ OVERPOCKET PHAT PANTS,FOSSIL / SMALL,133702,gid://shopify/Product/10344879718705,gid://shopify/ProductVariant/51604436484401,archived,gid://shopify/InventoryItem/53672006058289,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
133702,2,M+ OVERPOCKET PHAT PANTS IN FOSSIL,SMALL,133702,gid://shopify/Product/10338289713457,gid://shopify/ProductVariant/51573469053233,archived,gid://shopify/InventoryItem/53640700756273,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
